lemma	pos_ud	pos_freqs_ud	pos_euk	pos_freqs_euk	lemmafreq_ud	lemmafreq_euk	total_freq
när	SCONJ;ADV	307;4	ADV	289	311	289	600
en	DET;PRON;NUM	2522;71;11	DET;PRON	1991;106	2604	2097	4701
till	ADP;ADV	789;121	ADP;ADV;SCONJ	1051;43;4	910	1098	2008
genom	ADP;ADV	137;1	ADP	100	138	100	238
och	CCONJ;ADV	2673;6	CCONJ	3104	2679	3104	5783
logga	VERB	1	VERB;NOUN	1;3	1	4	5
in	ADV;ADP	186;1	X;ADV	1;132	187	133	320
utan	ADP;CCONJ;SCONJ	79;27;1	CCONJ;ADP	50;62	107	112	219
separat	ADV	3	ADJ	1	3	1	4
du	PRON;DET	460;2	PRON	110	462	110	572
göra	VERB;NOUN	246;1	VERB	273	247	273	520
av	ADP;ADV	988;29	ADP	1250	1017	1250	2267
med	ADP;ADV;SCONJ	962;46;11	ADP;ADV	979;68	1019	1047	2066
vara	AUX;VERB;NOUN;ADV	1556;272;4;1	AUX;VERB;NOUN	1703;299;22	1833	2024	3857
i	ADP;ADV	1904;22	ADP;X	2172;1	1926	2173	4099
på	ADP;ADV	1319;31	ADP;X	1417;1	1350	1418	2768
där	ADV	239	ADV;SCONJ	122;113	239	235	474
svår	ADJ	26	ADJ;ADV	28;1	26	29	55
annan	ADJ;PRON;NOUN	192;30;1	ADJ;ADV	122;1	223	123	346
för	ADP;ADV;SCONJ;CCONJ;NOUN	950;37;3;19;3	ADV;ADP;CCONJ	57;1231;57	1012	1345	2357
närvarande	NOUN;ADV;ADJ	6;1;1	ADJ;NOUN	5;3	8	8	16
enkel	ADJ	16	ADJ;ADV	18;4	16	22	38
skapa	VERB;ADJ	75;1	VERB	41	76	41	117
mycken	ADJ	38	PRON;ADV;ADJ	49;108;22	38	179	217
kunna	AUX	541	AUX;VERB	434;33	541	467	1008
skola	AUX;NOUN	397;13	AUX;VERB;NOUN	499;53;34	410	586	996
som	ADP;SCONJ;PRON;CCONJ	401;143;1077;8	SCONJ;CCONJ	1608;9	1629	1617	3246
böra	AUX	48	AUX;VERB	43;3	48	46	94
data	NOUN;PROPN	50;2	NOUN	7	52	7	59
visa	VERB;NOUN	110;1	VERB	77	111	77	188
från	ADP;ADV	325;1	ADP	359	326	359	685
mellan	ADP;CCONJ	86;1	ADP	93	87	93	180
grund	NOUN	22	NOUN;ADJ	34;1	22	35	57
begränsad	ADJ;VERB	2;1	ADJ	3	3	3	6
hur	ADV;SCONJ	134;1	ADV	130	135	130	265
se	VERB	272	VERB;X	212;1	272	213	485
entydig	ADJ	1	ADV;ADJ	1;1	1	2	3
liksom	ADP;ADV;CCONJ;SCONJ	7;6;2;1	ADV;SCONJ	9;19	16	28	44
vad	PRON;INTJ;NOUN;DET;SCONJ	217;7;1;2;2	PRON	147	229	147	376
de	PRON;DET;ADP	616;350;2	PRON;DET;PROPN	452;53;12	968	517	1485
bara	ADV	149	ADV;SCONJ	138;1	149	139	288
alternativ	NOUN	5	NOUN;ADJ	2;1	5	3	8
mången	ADJ;PRON	50;5	ADJ	145	55	145	200
antingen	CCONJ	6	ADV;CCONJ	2;2	6	4	10
del	NOUN	58	NOUN;X	110;1	58	111	169
hel	ADJ	116	ADJ;ADV	103;48	116	151	267
över	ADV;ADJ;ADP	21;1;191	ADP;ADV	121;19	213	140	353
nära	ADV;ADP;ADJ	15;12;19	ADJ	36	46	36	82
all	DET;PRON	163;112	PRON;DET;X	153;166;1	275	320	595
typ	NOUN	12	ADV;NOUN	6;17	12	23	35
så	ADV;SCONJ;PART;CCONJ	322;11;16;15	ADV;CCONJ;SCONJ;INTJ	442;70;13;1	364	526	890
tidig	ADJ	14	ADJ;ADV	55;4	14	59	73
eftersom	SCONJ	65	SCONJ;ADP	65;2	65	67	132
sådan	ADJ;PRON	81;8	ADJ	63	89	63	152
speciell	ADJ	12	ADV;ADJ	4;9	12	13	25
mer	ADV	24	ADJ	11	24	11	35
än	ADP;SCONJ;ADV	60;27;25	SCONJ;ADV	101;22	112	123	235
exakt	ADV;ADJ	9;2	ADJ	2	11	2	13
nere	ADJ;ADV	2;12	ADV	5	14	5	19
n	NUM	4	X	1	4	1	5
%	NOUN;SYM	3;3	SYM	2	6	2	8
innan	SCONJ;ADV	38;1	ADV;SCONJ;ADP	9;40;13	39	62	101
före	ADP;ADV	13;4	ADP	13	17	13	30
